"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"8509802000","1","36","B490","Production or post-production requirements, n.e.s.","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","B700","Product quality, safety or performance requirement","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","B820","Testing requirement","4","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","B850","Traceability requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","B851","Origin of materials and parts","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","B853","Distribution and location of products after delivery","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","B859","Traceability requirements, n.e.s.","5","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","C400","Import monitoring, surveillance and automatic licensing measures","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509803000","1","28","B220","Restricted use of certain substances","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B310","Labelling requirements","5","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B330","Packaging requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B410","TBT regulations on production processes","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
