"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","29445","2049","Tons","14.3704","0.531","6314","776663","Units","5417","712273","85.7935","1","-24028","TM-458-china_exports_bilateral-VAL;TM-458-china_exports_bilateral-QTY;TM-458-target_import_imports_by_supplier-VAL;TM-458-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","61063","3792","Tons","16.1031","0.8592","11460","915741","Units","10221","869057","89.1885","1","-50842","TM-458-china_exports_bilateral-VAL;TM-458-china_exports_bilateral-QTY;TM-458-target_import_imports_by_supplier-VAL;TM-458-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","70538","2744","Tons","25.7063","1.112","11528","921694","Units","10416","880979","90.3539","1","-60122","TM-458-china_exports_bilateral-VAL;TM-458-china_exports_bilateral-QTY;TM-458-target_import_imports_by_supplier-VAL;TM-458-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","84628","3281","Tons","25.7934","1.2816","16841","2304603","Units","14378","2090615","85.375","1","-70250","TM-458-china_exports_bilateral-VAL;TM-458-china_exports_bilateral-QTY;TM-458-target_import_imports_by_supplier-VAL;TM-458-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","103207","5082","Tons","20.3083","1.2643","21208","1200313","Units","19055","977712","89.8482","1","-84152","TM-458-china_exports_bilateral-VAL;TM-458-china_exports_bilateral-QTY;TM-458-target_import_imports_by_supplier-VAL;TM-458-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","81174","5381","Tons","15.0853","1.0844","20975","1665553","Units","18061","1596170","86.1073","1","-63113","TM-458-china_exports_bilateral-VAL;TM-458-china_exports_bilateral-QTY;TM-458-target_import_imports_by_supplier-VAL;TM-458-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
