"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","30419","1729","Tons","17.5934","0.5486","24969","0","Mixed","21078","0","84.4167","1","-9341","TM-764-china_exports_bilateral-VAL;TM-764-china_exports_bilateral-QTY;TM-764-target_import_imports_by_supplier-VAL;TM-764-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","50593","2893","Tons","17.4881","0.7119","22952","0","Mixed","17863","0","77.8276","1","-32730","TM-764-china_exports_bilateral-VAL;TM-764-china_exports_bilateral-QTY;TM-764-target_import_imports_by_supplier-VAL;TM-764-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","47174","2275","Tons","20.7358","0.7437","20083","0","Mixed","16217","1001689","80.7499","1","-30957","TM-764-china_exports_bilateral-VAL;TM-764-china_exports_bilateral-QTY;TM-764-target_import_imports_by_supplier-VAL;TM-764-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","40742","2297","Tons","17.737","0.617","18957","1084614","Units","14424","968056","76.088","1","-26318","TM-764-china_exports_bilateral-VAL;TM-764-china_exports_bilateral-QTY;TM-764-target_import_imports_by_supplier-VAL;TM-764-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","59499","3436","Tons","17.3164","0.7289","28763","2138439","Units","23329","2038797","81.1077","1","-36170","TM-764-china_exports_bilateral-VAL;TM-764-china_exports_bilateral-QTY;TM-764-target_import_imports_by_supplier-VAL;TM-764-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","69492","6892","Tons","10.083","0.9284","30480","1857768","Units","27763","1782058","91.086","1","-41729","TM-764-china_exports_bilateral-VAL;TM-764-china_exports_bilateral-QTY;TM-764-target_import_imports_by_supplier-VAL;TM-764-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
