"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","113","54.5894","-9.1917","TM-096-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","458","Malaysia","40","19.3237","-25.7293","TM-096-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","702","Singapore","40","19.3237","-19.7258","TM-096-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","842","United States of America","8","3.8647","-6.1705","TM-096-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","251","France","4","1.9324","-14.9717","TM-096-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","608","Philippines","1","0.4831",,"TM-096-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
