"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","50063","1423","Tons","35.1813","0.9029","19389","1578230","Units","10365","866746","53.4581","1","-39698","TM-702-china_exports_bilateral-VAL;TM-702-china_exports_bilateral-QTY;TM-702-target_import_imports_by_supplier-VAL;TM-702-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","35281","1552","Tons","22.7326","0.4964","49918","3875079","Units","23831","2093709","47.7403","1","-11450","TM-702-china_exports_bilateral-VAL;TM-702-china_exports_bilateral-QTY;TM-702-target_import_imports_by_supplier-VAL;TM-702-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","45243","1676","Tons","26.9946","0.7132","52980","3980041","Units","9776","531969","18.4522","2","-35467","TM-702-china_exports_bilateral-VAL;TM-702-china_exports_bilateral-QTY;TM-702-target_import_imports_by_supplier-VAL;TM-702-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","72899","3005","Tons","24.2592","1.104","15645","1262181","Units","11249","807238","71.9016","1","-61650","TM-702-china_exports_bilateral-VAL;TM-702-china_exports_bilateral-QTY;TM-702-target_import_imports_by_supplier-VAL;TM-702-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","83340","3710","Tons","22.4636","1.021","25520","1184600","Units","12622","462395","49.4592","1","-70718","TM-702-china_exports_bilateral-VAL;TM-702-china_exports_bilateral-QTY;TM-702-target_import_imports_by_supplier-VAL;TM-702-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","61676","3575","Tons","17.252","0.8239","31558","1516759","Units","19219","684780","60.9006","1","-42457","TM-702-china_exports_bilateral-VAL;TM-702-china_exports_bilateral-QTY;TM-702-target_import_imports_by_supplier-VAL;TM-702-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
