"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"85098010","1","2","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2018","2018","UNCTAD","singapore\market-access-map\ntm_measures_85098010.json"
"85098010","1","2","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2018","2018","UNCTAD","singapore\market-access-map\ntm_measures_85098010.json"
"85098020","1","2","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2018","2018","UNCTAD","singapore\market-access-map\ntm_measures_85098020.json"
"85098020","1","2","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2018","2018","UNCTAD","singapore\market-access-map\ntm_measures_85098020.json"
"85098090","1","2","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2018","2018","UNCTAD","singapore\market-access-map\ntm_measures_85098090.json"
"85098090","1","2","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2018","2018","UNCTAD","singapore\market-access-map\ntm_measures_85098090.json"
