"country_code","country_name","market_size","market_growth","china_share","untapped_amount","untapped_ratio"
"036","Australia","0.877446482178773","0.380159858201094","0.769059668444268","0.803237655269616","0.183277813508992"
"096","Brunei Darussalam","0","0","0","0","0.819346296524993"
"116","Cambodia","0.078808427521759","1","0.522330009043345","0.235084015787944","1"
"360","Indonesia","0.616417901202811","0.180992592344866","1","0.677698895047939","0.647253078450313"
"392","Japan","1","0.218433857833219","0.484143917657698","1","0.298241406260983"
"410","Korea, Republic of","0.930209221173922","0.397199137167032","0.743874330250871","0.951432378903966","0.33346106182263"
"458","Malaysia","0.588048962620381","0.731916459040516","0.793947760197694","0.578618818504394","0"
"554","New Zealand","0.623600046832664","0.300016721569152","0.346211493361077","0.611198142052935","0.967453113308907"
"608","Philippines","0.50103028418552","0.523040650134609","0.644475624532404","0.484232566708321","0.237011449907486"
"702","Singapore","0.640113808511085","0.449214922328311","0.158981502706706","0.647580642106087","0.436159379345059"
"764","Thailand","0.635683901651609","0.346151530859656","0.919363086526424","0.580056166088124","0.226518069691568"
