country_name,market,score
"Korea, Republic of",韩国,0.7352296121365667
Australia,澳大利亚,0.7005071285298545
Malaysia,马来西亚,0.663753999366516
Japan,日本,0.659236558207052
Thailand,泰国,0.6045997132805826
Indonesia,印度尼西亚,0.5978603861029449
Philippines,菲律宾,0.5347739102256489
Singapore,新加坡,0.5080724392654169
New Zealand,新西兰,0.4894009672240137
Cambodia,柬埔寨,0.43652140802905015
Brunei Darussalam,文莱,0.0
