"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","155","17","Tons","9.1176","0.0028","514","16912","Units","183","12572","35.6031","1","28","TM-096-china_exports_bilateral-VAL;TM-096-china_exports_bilateral-QTY;TM-096-target_import_imports_by_supplier-VAL;TM-096-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","624","24","Tons","26","0.0088","457","16816","Units","328","12546","71.7724","1","-296","TM-096-china_exports_bilateral-VAL;TM-096-china_exports_bilateral-QTY;TM-096-target_import_imports_by_supplier-VAL;TM-096-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","218","10","Tons","21.8","0.0034","277","21584","Units","126","13984","45.4874","1","-92","TM-096-china_exports_bilateral-VAL;TM-096-china_exports_bilateral-QTY;TM-096-target_import_imports_by_supplier-VAL;TM-096-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","576","14","Tons","41.1429","0.0087","256","20652","Units","132","13720","51.5625","1","-444","TM-096-china_exports_bilateral-VAL;TM-096-china_exports_bilateral-QTY;TM-096-target_import_imports_by_supplier-VAL;TM-096-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","437","18","Tons","24.2778","0.0054","232","9482","Units","118","7613","50.8621","1","-319","TM-096-china_exports_bilateral-VAL;TM-096-china_exports_bilateral-QTY;TM-096-target_import_imports_by_supplier-VAL;TM-096-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","171","24","Tons","7.125","0.0023","207","8694","Units","113","7080","54.5894","1","-58","TM-096-china_exports_bilateral-VAL;TM-096-china_exports_bilateral-QTY;TM-096-target_import_imports_by_supplier-VAL;TM-096-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
