"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","869","147","Tons","5.9116","0.0157","64","10","Tons","22","4","34.375","2","-847","TM-116-china_exports_bilateral-VAL;TM-116-china_exports_bilateral-QTY;TM-116-target_import_imports_by_supplier-VAL;TM-116-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","1472","130","Tons","11.3231","0.0207","761","85","Tons","724","80","95.138","1","-748","TM-116-china_exports_bilateral-VAL;TM-116-china_exports_bilateral-QTY;TM-116-target_import_imports_by_supplier-VAL;TM-116-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","1458","114","Tons","12.7895","0.023","196","17","Tons","87","10","44.3878","1","-1371","TM-116-china_exports_bilateral-VAL;TM-116-china_exports_bilateral-QTY;TM-116-target_import_imports_by_supplier-VAL;TM-116-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","957","137","Tons","6.9854","0.0145","251","13","Tons","51","8","20.3187","2","-906","TM-116-china_exports_bilateral-VAL;TM-116-china_exports_bilateral-QTY;TM-116-target_import_imports_by_supplier-VAL;TM-116-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","1862","221","Tons","8.4253","0.0228","362","36","Tons","200","10","55.2486","1","-1662","TM-116-china_exports_bilateral-VAL;TM-116-china_exports_bilateral-QTY;TM-116-target_import_imports_by_supplier-VAL;TM-116-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","975","190","Tons","5.1316","0.013","385","41","Tons","290","30","75.3247","1","-685","TM-116-china_exports_bilateral-VAL;TM-116-china_exports_bilateral-QTY;TM-116-target_import_imports_by_supplier-VAL;TM-116-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
