"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","25404","1971","Tons","12.8889","0.4582","35342","2240","Tons","34004","2149","96.2141","1","8600","TM-360-china_exports_bilateral-VAL;TM-360-china_exports_bilateral-QTY;TM-360-target_import_imports_by_supplier-VAL;TM-360-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","48084","2867","Tons","16.7715","0.6766","31703","2556","Tons","30496","2484","96.1928","1","-17588","TM-360-china_exports_bilateral-VAL;TM-360-china_exports_bilateral-QTY;TM-360-target_import_imports_by_supplier-VAL;TM-360-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","54840","3776","Tons","14.5233","0.8645","21592","4979","Tons","20242","4891","93.7477","1","-34598","TM-360-china_exports_bilateral-VAL;TM-360-china_exports_bilateral-QTY;TM-360-target_import_imports_by_supplier-VAL;TM-360-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","38587","3922","Tons","9.8386","0.5844","23906","6943","Tons","23013","6866","96.2645","1","-15574","TM-360-china_exports_bilateral-VAL;TM-360-china_exports_bilateral-QTY;TM-360-target_import_imports_by_supplier-VAL;TM-360-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","49598","5362","Tons","9.2499","0.6076","28986","11936","Tons","26358","11681","90.9336","1","-23240","TM-360-china_exports_bilateral-VAL;TM-360-china_exports_bilateral-QTY;TM-360-target_import_imports_by_supplier-VAL;TM-360-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","53509","6326","Tons","8.4586","0.7148","26204","6701","Tons","24707","6523","94.2871","1","-28802","TM-360-china_exports_bilateral-VAL;TM-360-china_exports_bilateral-QTY;TM-360-target_import_imports_by_supplier-VAL;TM-360-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
