"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","256558","17267","Tons","14.8583","4.627","217856","14968.281","Tons","182606","13825","83.8196","1","-73952","TM-410-china_exports_bilateral-VAL;TM-410-china_exports_bilateral-QTY;TM-410-target_import_imports_by_supplier-VAL;TM-410-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","323368","21704","Tons","14.899","4.5499","283751","19407.675","Tons","232362","18111","81.8894","1","-91006","TM-410-china_exports_bilateral-VAL;TM-410-china_exports_bilateral-QTY;TM-410-target_import_imports_by_supplier-VAL;TM-410-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","309146","18063","Tons","17.1149","4.8735","264754","15722.455","Tons","201741","14241","76.1994","1","-107405","TM-410-china_exports_bilateral-VAL;TM-410-china_exports_bilateral-QTY;TM-410-target_import_imports_by_supplier-VAL;TM-410-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","337372","20765","Tons","16.2471","5.1092","262389","17912.584","Tons","194174","15952","74.0023","1","-143198","TM-410-china_exports_bilateral-VAL;TM-410-china_exports_bilateral-QTY;TM-410-target_import_imports_by_supplier-VAL;TM-410-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","491925","32413","Tons","15.1768","6.0263","319325","25615.804","Tons","261119","23479","81.7722","1","-230806","TM-410-china_exports_bilateral-VAL;TM-410-china_exports_bilateral-QTY;TM-410-target_import_imports_by_supplier-VAL;TM-410-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","359823","28648","Tons","12.5601","4.8069","307301","26059.173","Tons","258500","23766","84.1195","1","-101323","TM-410-china_exports_bilateral-VAL;TM-410-china_exports_bilateral-QTY;TM-410-target_import_imports_by_supplier-VAL;TM-410-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
