"ntl_code","ntl_description","tariff_regime","applied_tariff","ad_valorem_equivalent","other_duties","tariff_year","hs_revision","agreement_id","fta_id","reference_data","max_mfn_duties_applied","raw_source_file"
"8509801000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","MFN duties (Applied)","3%","3%",,"2024","HS Rev.2022","14","1285","Source : ITC (2026)","3%","myanmar\market-access-map\custom_duties_8509801000.json"
"8509801000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","Preferential tariff for China","0%","0%",,"2024","HS Rev.2022","675","197","Source : ITC (2026)","3%","myanmar\market-access-map\custom_duties_8509801000.json"
"8509801000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","Preferential tariff for RCEP countries","0%","0%",,"2024","HS Rev.2022","1340","103","Source : ITC (2026)","3%","myanmar\market-access-map\custom_duties_8509801000.json"
"8509802000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","MFN duties (Applied)","7.50%","7.50%",,"2024","HS Rev.2022","14","1285","Source : ITC (2026)","7.50%","myanmar\market-access-map\custom_duties_8509802000.json"
"8509802000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","Preferential tariff for China","0%","0%",,"2024","HS Rev.2022","675","197","Source : ITC (2026)","7.50%","myanmar\market-access-map\custom_duties_8509802000.json"
"8509802000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","Preferential tariff for RCEP countries","6%","6%",,"2024","HS Rev.2022","1340","103","Source : ITC (2026)","7.50%","myanmar\market-access-map\custom_duties_8509802000.json"
"8509809000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","MFN duties (Applied)","7.50%","7.50%",,"2024","HS Rev.2022","14","1285","Source : ITC (2026)","7.50%","myanmar\market-access-map\custom_duties_8509809000.json"
"8509809000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","Preferential tariff for China","0%","0%",,"2024","HS Rev.2022","675","197","Source : ITC (2026)","7.50%","myanmar\market-access-map\custom_duties_8509809000.json"
"8509809000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","Preferential tariff for RCEP countries","6%","6%",,"2024","HS Rev.2022","1340","103","Source : ITC (2026)","7.50%","myanmar\market-access-map\custom_duties_8509809000.json"
