"ntl_code","ntl_description","tariff_regime","applied_tariff","ad_valorem_equivalent","other_duties","tariff_year","hs_revision","agreement_id","fta_id","reference_data","max_mfn_duties_applied","raw_source_file"
"85098010","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances): Floor polishers","MFN duties (Applied)","30%","30%",,"2021","HS Rev.2017","14","1416","Source : ITC (2026)","30%","thailand\market-access-map\custom_duties_85098010.json"
"85098010","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances): Floor polishers","Preferential tariff for China","0%","0%",,"2021","HS Rev.2017","675","197","Source : ITC (2026)","30%","thailand\market-access-map\custom_duties_85098010.json"
"85098020","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances): Kitchen waste disposers","MFN duties (Applied)","30%","30%",,"2021","HS Rev.2017","14","1416","Source : ITC (2026)","30%","thailand\market-access-map\custom_duties_85098020.json"
"85098020","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances): Kitchen waste disposers","Preferential tariff for China","0%","0%",,"2021","HS Rev.2017","675","197","Source : ITC (2026)","30%","thailand\market-access-map\custom_duties_85098020.json"
"85098090","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances): Other","MFN duties (Applied)","30%","30%",,"2021","HS Rev.2017","14","1416","Source : ITC (2026)","30%","thailand\market-access-map\custom_duties_85098090.json"
"85098090","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances): Other","Preferential tariff for China","0%","0%",,"2021","HS Rev.2017","675","197","Source : ITC (2026)","30%","thailand\market-access-map\custom_duties_85098090.json"
