"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","384759","26318","Tons","14.6196","6.9391","637191","38185","Tons","487150","32969","76.4527","1","102391","TM-392-china_exports_bilateral-VAL;TM-392-china_exports_bilateral-QTY;TM-392-target_import_imports_by_supplier-VAL;TM-392-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","504716","34063","Tons","14.8171","7.1015","789653","46703","Tons","648125","41832","82.0772","1","143409","TM-392-china_exports_bilateral-VAL;TM-392-china_exports_bilateral-QTY;TM-392-target_import_imports_by_supplier-VAL;TM-392-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","421149","24631","Tons","17.0983","6.6391","674434","38822","Tons","512736","32382","76.0246","1","91587","TM-392-china_exports_bilateral-VAL;TM-392-china_exports_bilateral-QTY;TM-392-target_import_imports_by_supplier-VAL;TM-392-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","373884","23239","Tons","16.0886","5.6621","592204","34380","Tons","424949","27428","71.7572","1","51065","TM-392-china_exports_bilateral-VAL;TM-392-china_exports_bilateral-QTY;TM-392-target_import_imports_by_supplier-VAL;TM-392-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","349697","22276","Tons","15.6984","4.2839","528461","31711","Tons","371797","25304","70.3547","1","22100","TM-392-china_exports_bilateral-VAL;TM-392-china_exports_bilateral-QTY;TM-392-target_import_imports_by_supplier-VAL;TM-392-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","309129","23251","Tons","13.2953","4.1297","531328","32644","Tons","392167","27640","73.8088","1","83038","TM-392-china_exports_bilateral-VAL;TM-392-china_exports_bilateral-QTY;TM-392-target_import_imports_by_supplier-VAL;TM-392-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
