"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","2461","409","Tons","6.0171","0.0444","1212","105","Tons","1156","64","95.3795","1","-1305","TM-104-china_exports_bilateral-VAL;TM-104-china_exports_bilateral-QTY;TM-104-target_import_imports_by_supplier-VAL;TM-104-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","2189","340","Tons","6.4382","0.0308","222","9","Tons","86","4","38.7387","1","-2103","TM-104-china_exports_bilateral-VAL;TM-104-china_exports_bilateral-QTY;TM-104-target_import_imports_by_supplier-VAL;TM-104-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","2197","277","Tons","7.9314","0.0346","225","19","Tons","163","13","72.4444","1","-2034","TM-104-china_exports_bilateral-VAL;TM-104-china_exports_bilateral-QTY;TM-104-target_import_imports_by_supplier-VAL;TM-104-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","451","59","Tons","7.6441","0.0068","114","4","Tons","109","4","95.614","1","-342","TM-104-china_exports_bilateral-VAL;TM-104-china_exports_bilateral-QTY;TM-104-target_import_imports_by_supplier-VAL;TM-104-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","315","81","Tons","3.8889","0.0039","127","4","Tons","126","4","99.2126","1","-189","TM-104-china_exports_bilateral-VAL;TM-104-china_exports_bilateral-QTY;TM-104-target_import_imports_by_supplier-VAL;TM-104-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","422","73","Tons","5.7808","0.0056",,,,,,,"",,"TM-104-china_exports_bilateral-VAL;TM-104-china_exports_bilateral-QTY;TM-104-target_import_imports_by_supplier-VAL;TM-104-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
