"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","7497","699","Tons","10.7253","0.1352","25976","1550","Tons","16401","1052","63.1391","1","8904","TM-554-china_exports_bilateral-VAL;TM-554-china_exports_bilateral-QTY;TM-554-target_import_imports_by_supplier-VAL;TM-554-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","11230","1007","Tons","11.1519","0.158","37942","1813","Tons","22635","1263","59.6568","1","11405","TM-554-china_exports_bilateral-VAL;TM-554-china_exports_bilateral-QTY;TM-554-target_import_imports_by_supplier-VAL;TM-554-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","10658","802","Tons","13.2893","0.168","36721","1754","Tons","22974","1074","62.5637","1","12316","TM-554-china_exports_bilateral-VAL;TM-554-china_exports_bilateral-QTY;TM-554-target_import_imports_by_supplier-VAL;TM-554-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","10679","943","Tons","11.3245","0.1617","29474","1301","Tons","19948","922","67.68","1","9269","TM-554-china_exports_bilateral-VAL;TM-554-china_exports_bilateral-QTY;TM-554-target_import_imports_by_supplier-VAL;TM-554-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","12402","1205","Tons","10.2921","0.1519","30012","1519","Tons","18838","1017","62.7682","1","6436","TM-554-china_exports_bilateral-VAL;TM-554-china_exports_bilateral-QTY;TM-554-target_import_imports_by_supplier-VAL;TM-554-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","12143","1085","Tons","11.1917","0.1622","27723","1541","Tons","18944","1112","68.3332","1","6801","TM-554-china_exports_bilateral-VAL;TM-554-china_exports_bilateral-QTY;TM-554-target_import_imports_by_supplier-VAL;TM-554-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
