"ntl_code","ntl_description","tariff_regime","applied_tariff","ad_valorem_equivalent","other_duties","tariff_year","hs_revision","agreement_id","fta_id","reference_data","max_mfn_duties_applied","raw_source_file"
"85098001","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Food slicers","MFN duties (Applied)","0%","0%",,"2026","HS Rev.2022","14","1374","Source : ITC (2026)","0%","new-zealand\market-access-map\custom_duties_85098001.json"
"85098009","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Ancillary devices for food grinders and mixers","MFN duties (Applied)","0%","0%",,"2026","HS Rev.2022","14","1374","Source : ITC (2026)","0%","new-zealand\market-access-map\custom_duties_85098009.json"
"85098019","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","MFN duties (Applied)","5%","5%",,"2026","HS Rev.2022","14","1374","Source : ITC (2026)","5%","new-zealand\market-access-map\custom_duties_85098019.json"
"85098019","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","730","287","Source : ITC (2026)","5%","new-zealand\market-access-map\custom_duties_85098019.json"
"85098019","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","Preferential tariff for RCEP countries","2.50%","2.50%",,"2026","HS Rev.2022","1285","103","Source : ITC (2026)","5%","new-zealand\market-access-map\custom_duties_85098019.json"
"85098029","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","MFN duties (Applied)","0%","0%",,"2026","HS Rev.2022","14","1374","Source : ITC (2026)","0%","new-zealand\market-access-map\custom_duties_85098029.json"
