"ntl_code","ntl_description","tariff_regime","applied_tariff","ad_valorem_equivalent","other_duties","tariff_year","hs_revision","agreement_id","fta_id","reference_data","max_mfn_duties_applied","raw_source_file"
"85098010","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","MFN duties (Applied)","10%","10%",,"2026","HS Rev.2022","14","1332","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098010.json"
"85098010","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","Preferential tariff (RCEP) for China","5%","5%",,"2026","HS Rev.2022","1267","103","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098010.json"
"85098010","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","675","197","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098010.json"
"85098020","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","MFN duties (Applied)","10%","10%",,"2026","HS Rev.2022","14","1332","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098020.json"
"85098020","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","Preferential tariff (RCEP) for China","0%","0%",,"2026","HS Rev.2022","1267","103","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098020.json"
"85098020","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","675","197","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098020.json"
"85098090","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","MFN duties (Applied)","10%","10%",,"2026","HS Rev.2022","14","1332","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098090.json"
"85098090","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","Preferential tariff (RCEP) for China","0%","0%",,"2026","HS Rev.2022","1267","103","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098090.json"
"85098090","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","675","197","Source : ITC (2026)","10%","indonesia\market-access-map\custom_duties_85098090.json"
