"year","china_reported_exports_usd_thousand","china_reported_quantity","china_quantity_unit","china_export_unit_value_usd_per_kg","destination_share_of_china_world_exports_pct","importer_reported_world_imports_usd_thousand","importer_reported_world_quantity","importer_quantity_unit","importer_reported_imports_from_china_usd_thousand","importer_reported_quantity_from_china","china_share_of_destination_imports_pct","china_supplier_rank","mirror_gap_importer_minus_china_reported_usd_thousand","source_ids"
"2020","23656","1914","Tons","12.3595","0.4266","5350","1367","Tons","3407","889","63.6822","1","-20249","TM-608-china_exports_bilateral-VAL;TM-608-china_exports_bilateral-QTY;TM-608-target_import_imports_by_supplier-VAL;TM-608-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2021","39725","3172","Tons","12.5236","0.5589","6592","1481","Tons","5637","1426","85.5127","1","-34088","TM-608-china_exports_bilateral-VAL;TM-608-china_exports_bilateral-QTY;TM-608-target_import_imports_by_supplier-VAL;TM-608-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2022","36545","2251","Tons","16.235","0.5761","5672","892","Tons","3959","790","69.799","1","-32586","TM-608-china_exports_bilateral-VAL;TM-608-china_exports_bilateral-QTY;TM-608-target_import_imports_by_supplier-VAL;TM-608-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2023","26205","2191","Tons","11.9603","0.3969","7173","1278","Tons","5285","1193","73.6791","1","-20920","TM-608-china_exports_bilateral-VAL;TM-608-china_exports_bilateral-QTY;TM-608-target_import_imports_by_supplier-VAL;TM-608-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2024","30181","2465","Tons","12.2438","0.3697","7498","1622","Tons","6156","1544","82.1019","1","-24025","TM-608-china_exports_bilateral-VAL;TM-608-china_exports_bilateral-QTY;TM-608-target_import_imports_by_supplier-VAL;TM-608-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
"2025","34900","3670","Tons","9.5095","0.4662","10597","2519","Tons","8496","2419","80.1736","1","-26404","TM-608-china_exports_bilateral-VAL;TM-608-china_exports_bilateral-QTY;TM-608-target_import_imports_by_supplier-VAL;TM-608-target_import_imports_by_supplier-QTY;TM-000-china_exports_world_by_destination-VAL"
