country,schedule_file,pdf_page_1_based,matched_text,context_exact_text_extraction,source_kind,interpretation_warning
cambodia,03-tariff-schedules\cambodia\25_schedule_KH.pdf,161,8509.80.20 -- Kitchen waste disposers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 %,8509.80.10 -- Floor polishers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.80.20 -- Kitchen waste disposers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.80.90 -- Other 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % | 8509.90 - Parts: | 8509.90.10 -- Of goods of subheading 8509.80.10 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 %,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
cambodia,03-tariff-schedules\cambodia\25_schedule_KH.pdf,161,8509.80.90 -- Other 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 %,8509.80.20 -- Kitchen waste disposers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.80.90 -- Other 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % | 8509.90 - Parts: | 8509.90.10 -- Of goods of subheading 8509.80.10 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.90.90 -- Other 35 % 35 % 32 % 32 % 29 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 %,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
cambodia,03-tariff-schedules\cambodia\25_schedule_KH.pdf,161,8509.90.10 -- Of goods of subheading 8509.80.10 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 %,"8509.90 - Parts: | 8509.90.10 -- Of goods of subheading 8509.80.10 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.90.90 -- Other 35 % 35 % 32 % 32 % 29 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % | 85.10 Shavers, hair clippers and hair-removing appliances, | with self-contained electric motor.",official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
indonesia,03-tariff-schedules\indonesia\29_schedule_ID_for_CN.pdf,272,8509.80 - Other appliances:,vegetable juice extractors 10.0% 10.0% 10.0% 10.0% 10.0% 10.0% 10.0% 10.0% 10.0% 10.0% 9.9% 9.6% 9.2% 8.8% 8.4% 8.0% 7.7% 7.3% 6.9% 6.5% 6.1% 5.8% 5.4% 5.0% | 8509.80 - Other appliances: | 8509.80.10.00 - - Floor polishers 10.0% 10.0% 9.0% 8.0% 7.0% 6.0% 5.0% 4.0% 3.0% 2.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.20.00 - - Kitchen waste disposers 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.90.00 - - Other 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
indonesia,03-tariff-schedules\indonesia\29_schedule_ID_for_CN.pdf,272,8509.80.10.00 - - Floor polishers 10.0% 10.0% 9.0% 8.0% 7.0% 6.0% 5.0% 4.0% 3.0% 2.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,8509.80 - Other appliances: | 8509.80.10.00 - - Floor polishers 10.0% 10.0% 9.0% 8.0% 7.0% 6.0% 5.0% 4.0% 3.0% 2.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.20.00 - - Kitchen waste disposers 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.90.00 - - Other 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90 - Parts:,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
indonesia,03-tariff-schedules\indonesia\29_schedule_ID_for_CN.pdf,272,8509.80.20.00 - - Kitchen waste disposers 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,8509.80.10.00 - - Floor polishers 10.0% 10.0% 9.0% 8.0% 7.0% 6.0% 5.0% 4.0% 3.0% 2.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.20.00 - - Kitchen waste disposers 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.90.00 - - Other 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90 - Parts: | 8509.90.10.00 - - Of goods of subheading,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
indonesia,03-tariff-schedules\indonesia\29_schedule_ID_for_CN.pdf,272,8509.80.90.00 - - Other 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,8509.80.20.00 - - Kitchen waste disposers 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.90.00 - - Other 10.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90 - Parts: | 8509.90.10.00 - - Of goods of subheading | 8509.80.10 5.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
indonesia,03-tariff-schedules\indonesia\29_schedule_ID_for_CN.pdf,272,8509.80.10 5.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,"8509.90.10.00 - - Of goods of subheading | 8509.80.10 5.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90.90.00 - - Other 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 85.10 Shavers, hair clippers and hair- | removing appliances, with self-",official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
japan,03-tariff-schedules\japan\11_schedule_JP.pdf,1133,850980.000 Other appliances Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free,"extractors Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free | 850980.000 Other appliances Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free | 850990.000 Parts Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free Free | 85.10 Shavers, hair clippers and hair-removing appliances, | with self-contained electric motor",official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
laos,03-tariff-schedules\laos\35_schedule_LA.pdf,307,8509.80 - Other appliances:,8509.40.00 - Food grinders and mixers; fruit or vegetable juice extractors 10% 9% 8% 8% 8% 6% 6% 6% 4% 4% 4% 2% 2% 2% 2% 0% 0% 0% 0% 0% 0% | 8509.80 - Other appliances: | 8509.80.10 - - Floor polishers 10% 9% 8% 8% 8% 6% 6% 6% 4% 4% 4% 2% 2% 2% 2% 0% 0% 0% 0% 0% 0% | 8509.80.20 - - Kitchen waste disposers 10% 9% 8% 8% 8% 6% 6% 6% 4% 4% 4% 2% 2% 2% 2% 0% 0% 0% 0% 0% 0% | 8509.80.90 - - Other 10% 9% 8% 8% 8% 6% 6% 6% 4% 4% 4% 2% 2% 2% 2% 0% 0% 0% 0% 0% 0%,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
